# صفحه‌های کنکور سراسری تجربی در konkur.in — از هر صفحه: دفترچه + کلید + ۲ حل تشریحی فیزیک
# ستون‌ها (تب‌جدا): page_id	year_fa	nobat	prefix_fa
125397	1405	اردیبهشت	کنکور-1405-تجربی
117416	1404	نوبت1-اردیبهشت	کنکور-1404-نوبت1-تجربی
119129	1404	نوبت2-تیر	کنکور-1404-نوبت2-تجربی
109465	1403	نوبت1-اردیبهشت	کنکور-1403-نوبت1-تجربی
111823	1403	نوبت2-تیر	کنکور-1403-نوبت2-تجربی
101624	1402	نوبت1	کنکور-1402-نوبت1-تجربی
104737	1402	نوبت2-تیر	کنکور-1402-نوبت2-تجربی
96826	1401	-	کنکور-1401-تجربی
90630	1400	-	کنکور-1400-تجربی
